objtype;Navn;egenskapsId;navn;viktighet
3;Skjerm;220374;Assosierte Kommentar;IKKE_SATT
3;Skjerm;220454;Assosierte Avstandsmåling;IKKE_SATT
3;Skjerm;220459;Assosierte Høydemåling;IKKE_SATT
3;Skjerm;220581;Assosierte Tilstand/skade FU, strekning;IKKE_SATT
3;Skjerm;220650;Assosierte Tilstand/skade, strekning;IKKE_SATT
3;Skjerm;221387;Assosierte Dokumentasjon;IKKE_SATT
3;Skjerm;222133;Assosierte Tilstandsgrad, skjerm;IKKE_SATT
3;Skjerm;1247;Bruksområde;PÅKREVD_IKKE_ABSOLUTT
3;Skjerm;1087;Materiale skjerm;PÅKREVD_IKKE_ABSOLUTT
3;Skjerm;1665;Materiale søyler;BETINGET
3;Skjerm;2153;Fundamentering/plassering;OPSJONELL
3;Skjerm;9819;Type fundament;OPSJONELL
3;Skjerm;1296;Lengde;BETINGET
3;Skjerm;9823;Høyde;PÅKREVD_IKKE_ABSOLUTT
3;Skjerm;1352;Areal;PÅKREVD_IKKE_ABSOLUTT
3;Skjerm;3951;Type gjennomsiktig vegg;BETINGET
3;Skjerm;9832;Søyleavstand;BETINGET
3;Skjerm;1611;Areal gjennomsiktig vegg;BETINGET
3;Skjerm;9828;Tykkelse;OPSJONELL
3;Skjerm;1606;Lydabsorberende;BETINGET
3;Skjerm;9829;Utforming topp;OPSJONELL
3;Skjerm;9839;Farge;OPSJONELL
3;Skjerm;1599;Overflatebehandling;BETINGET
3;Skjerm;9936;Etableringsår;PÅKREVD_IKKE_ABSOLUTT
3;Skjerm;9830;Tilleggsinformasjon;OPSJONELL
3;Skjerm;12088;Arkivreferanse;OPSJONELL
3;Skjerm;11029;Prosjektreferanse;BETINGET
3;Skjerm;12264;ProsjektInternObjekt_ID;BETINGET
3;Skjerm;10846;FKB_ID;OPSJONELL
3;Skjerm;1546;Eier;BETINGET
3;Skjerm;11202;Eier, navn;BETINGET
3;Skjerm;1549;Vedlikeholdsansvarlig;BETINGET
3;Skjerm;4712;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT
5;Rekkverk;220057;Assosierte Rekkverksende;IKKE_SATT
5;Rekkverk;220351;Assosierte Kommentar;IKKE_SATT
5;Rekkverk;220467;Assosierte Tilstand/skade, rekkverk;IKKE_SATT
5;Rekkverk;220577;Assosierte Tilstand/skade FU, strekning;IKKE_SATT
