objtype;Navn;egenskapsId;navn;viktighet;Lengde egenskap;Areal egenskap
3;Skjerm;4712;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;Areal,Areal gjennomsiktig vegg
5;Rekkverk;4714;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde,Elementlengde;
7;Gjerde;4716;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
9;Kantstein;4717;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Elementlengde,Lengde;
10;Nedsenka kantstein;8915;Geometri, linje;BETINGET;Lengde;
15;Grasdekker;4723;Utgår_Geometri, linje;HISTORISK;;Areal
15;Grasdekker;8911;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
20;Kantstolper/Refleks;4728;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
21;Brøytestikk;4729;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
22;Ferist;9425;Geometri, linje;BETINGET;;
23;Vegbom;9426;Geometri, linje;BETINGET;Lengde;
24;Skiltportal;8916;Geometri, linje;BETINGET;;
25;Leskur;9844;Geometri, flate;BETINGET;Lengde, utvendig;Areal tilpasset rullestol
25;Leskur;9427;Utgår_Geometri, linje;HISTORISK;Lengde, utvendig;Areal tilpasset rullestol
30;Veganlegg;4738;Geometri, flate;BETINGET;;
39;Rasteplass;8913;Utgår_Geometri, linje;HISTORISK;;Areal, totalt,Areal, kjørbart,Areal, belyst
39;Rasteplass;5131;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal, totalt,Areal, kjørbart,Areal, belyst
40;Snuplass;10890;Geometri, flate;BETINGET;Lengde arm;Areal
40;Snuplass;9428;Utgår_Geometri, linje;HISTORISK;Lengde arm;Areal
41;Ferjeoppstillingsplass;9429;Utgår_Geometri, linje;HISTORISK;Lengde oppstillingsfelt, forflytningshemmede,Lengde oppstillingsfelt, tunge kjøretøy,Lengde oppstillingsfelt, personbil/kombinert;Areal
41;Ferjeoppstillingsplass;10966;Geometri, flate;BETINGET;Lengde oppstillingsfelt, forflytningshemmede,Lengde oppstillingsfelt, tunge kjøretøy,Lengde oppstillingsfelt, personbil/kombinert;Areal
42;Kollektivknutepunkt;9430;Utgår_Geometri, linje;HISTORISK;;
42;Kollektivknutepunkt;12585;Geometri, flate;OPSJONELL;;
43;Parkeringsområde;9431;Utgår_Geometri, linje;HISTORISK;;Areal
43;Parkeringsområde;10891;Geometri, flate;BETINGET;;Areal
44;Kontroll-/veieplass;10963;Geometri, flate;BETINGET;;Areal
47;Trafikklomme;5897;Utgår_Geometri, linje;HISTORISK;Lengde med full bredde;Areal,Brøytet areal
47;Trafikklomme;5900;Geometri, flate;BETINGET;Lengde med full bredde;Areal,Brøytet areal
48;Fortau;4755;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
49;Trafikkøy;8917;Utgår_Geometri, linje;HISTORISK;;Belegning, overkjørbart areal,Areal,Areal, overkjørbart
49;Trafikkøy;10716;Geometri, flate;BETINGET;;Belegning, overkjørbart areal,Areal,Areal, overkjørbart
57;Skjæring;4760;Geometri, linje;BETINGET;;Areal
57;Skjæring;10959;Geometri, flate;BETINGET;;Areal
59;Fiberduk;4762;Geometri, hjelpelinje;OPSJONELL;;Areal
59;Fiberduk;8876;Geometri, flate;OPSJONELL;;Areal
60;Bru;4763;Geometri, linje;BETINGET;Lengde;
60;Bru;8906;Geometri, flate;BETINGET;Lengde;
62;Støttekonstruksjon;4765;Geometri, linje;BETINGET;Lengde;Areal
62;Støttekonstruksjon;10960;Geometri, flate;BETINGET;Lengde;Areal
64;Ferjekai;9432;Utgår_Geometri, linje;HISTORISK;;Areal, totalt,Areal, kjørbart øvrig
64;Ferjekai;10967;Geometri, flate;BETINGET;;Areal, totalt,Areal, kjørbart øvrig
65;Bygning;9433;Utgår_Geometri, linje;HISTORISK;;Areal grunnflate
65;Bygning;9340;Geometri, flate;BETINGET;;Areal grunnflate
66;Skredoverbygg;4768;Geometri, linje;OPSJONELL;Lengde;
67;Tunnelløp;4769;Geometri, linje;BETINGET;Lengde;Assosierte Sideareal tunnel,Areal tverrsnitt
69;Tunnelportal;9505;Geometri, linje;BETINGET;Lengde;
70;Vann- og frostsikring;4772;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde,Gjennomsnittlig elementlengde;Areal
71;Betongutstøping;4773;Geometri, linje;OPSJONELL;Lengde;
72;Bergsikring;4774;Geometri, linje;BETINGET;Lengde;Areal
72;Bergsikring;8877;Geometri, flate;BETINGET;Lengde;Areal
73;Sikringsbolt;5898;Geometri, linje;BETINGET;Lengde bolt;
73;Sikringsbolt;5901;Geometri, flate;BETINGET;Lengde bolt;
77;Rørledning;4778;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde,Elementlengde;
78;Lukket rørgrøft;4779;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
79;Stikkrenne/Kulvert;5899;Geometri, linje;BETINGET;Lengde;
79;Stikkrenne/Kulvert;5902;Geometri, flate;OPSJONELL;Lengde;
80;Grøft, åpen;4781;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
81;Elv/Bekk, gjenlagt;8918;Geometri, linje;BETINGET;Lengde gjenlegging;
82;Hydraveg;4783;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
86;Belysningsstrekning;4786;Geometri, linje;OPSJONELL;;
89;Signalanlegg;8919;Geometri, linje;OPSJONELL;;
92;Kabel;4792;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde,Lengde, kart;
99;Vegoppmerking, langsgående;4798;Geometri, linje;BETINGET;Lengde,Lengde omslutningslinje;Utgår_Areal av fylt sperreområde
103;Fartsdemper;12650;Geometri, flate;BETINGET;Lengde, langs kjøreretning;Areal
105;Fartsgrense;11845;Geometri, hjelpelinje;OPSJONELL;;
106;Vinterdriftsstrategi;4804;Geometri, hjelpelinje;OPSJONELL;;
113;Høydemåling;4809;Geometri, linje;OPSJONELL;;
123;Tilstand/skade, dekke;4814;Geometri, linje;OPSJONELL;;
123;Tilstand/skade, dekke;12187;Geometri, flate;OPSJONELL;;
137;Fyllingsskråning;4817;Geometri, linje;OPSJONELL;;Areal
137;Fyllingsskråning;10961;Geometri, flate;BETINGET;;Areal
144;Plastring/Erosjonssikring;4820;Utgår_Geometri, linje;HISTORISK;;Areal
144;Plastring/Erosjonssikring;8878;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
145;Membran;4821;Geometri, hjelpelinje;OPSJONELL;;Areal
145;Membran;8907;Geometri, flate;OPSJONELL;;Areal
147;Bergrom;8934;Utgår_Geometri, linje;HISTORISK;;
147;Bergrom;10964;Geometri, flate;BETINGET;;
167;Sensor i vegbanen;12054;Geometri, linje;OPSJONELL;Lengde;Areal
172;Trafikkdeler;4834;Geometri, linje;OPSJONELL;Lengde;Areal
172;Trafikkdeler;8879;Geometri, flate;BETINGET;Lengde;Areal
174;Gangfelt;9434;Geometri, linje;OPSJONELL;;Belegning, areal
174;Gangfelt;12089;Geometri, flate;BETINGET;;Belegning, areal
183;Kabelbru/stige;4839;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
199;Trær;4840;Geometri, linje;BETINGET;;Areal
199;Trær;5903;Geometri, flate;BETINGET;;Areal
208;Basseng/Magasin;8881;Geometri, flate;BETINGET;;Areal
208;Basseng/Magasin;9435;Utgår_Geometri, linje;HISTORISK;;Areal
226;Bærelag;4860;Geometri, hjelpelinje;OPSJONELL;;
226;Bærelag;8882;Geometri, flate;OPSJONELL;;
227;Forsterkningslag;4861;Geometri, hjelpelinje;OPSJONELL;;
227;Forsterkningslag;8883;Geometri, flate;OPSJONELL;;
229;Frostsikringslag;4863;Geometri, hjelpelinje;OPSJONELL;;
229;Frostsikringslag;8885;Geometri, flate;OPSJONELL;;
234;Voll;4864;Geometri, linje;BETINGET;Lengde;
234;Voll;8886;Geometri, flate;OPSJONELL;Lengde;
241;Vegdekke;4867;Geometri, hjelpelinje;OPSJONELL;;Areal
241;Vegdekke;8887;Geometri, flate;OPSJONELL;;Areal
269;Vegskulder/Vegkant;4876;Geometri, linje;OPSJONELL;;
270;Skråning;4877;Geometri, linje;OPSJONELL;Lengde;Areal
270;Skråning;8890;Geometri, flate;BETINGET;Lengde;Areal
274;Blomsterbeplantning;4881;Geometri, linje;OPSJONELL;;Areal
274;Blomsterbeplantning;8891;Geometri, flate;BETINGET;;Areal
278;Ventilasjonsanlegg;8933;Geometri, linje;BETINGET;;
284;Tilstand/skade, rekkverk;4886;Geometri, linje;OPSJONELL;;
291;Viltfare;4890;Geometri, hjelpelinje;OPSJONELL;Lengde;
293;Breddemåling;4892;Geometri, linje;OPSJONELL;;
294;Tilstand/skade, strekning;4893;Geometri, linje;OPSJONELL;;
300;Naturområde;4897;Utgår_Geometri, linje;HISTORISK;;Areal
300;Naturområde;10566;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
301;Kantklippareal;4898;Geometri, linje;BETINGET;;Areal
301;Kantklippareal;9136;Geometri, flate;BETINGET;;Areal
302;Tilstand/skade, grøft;4899;Geometri, linje;OPSJONELL;;
303;Undergrunn;4900;Geometri, hjelpelinje;OPSJONELL;;
303;Undergrunn;8908;Geometri, flate;OPSJONELL;;
318;Snø-/isrydding;4909;Geometri, linje;OPSJONELL;;Areal
335;Avstandsmåling;4912;Geometri, linje;OPSJONELL;;
445;Skred;4963;Geometri, linje;OPSJONELL;Blokkert veglengde;
445;Skred;8912;Geometri, flate;OPSJONELL;Blokkert veglengde;
447;Tunnelløp uten trafikk;8920;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
448;Tunnelsjakt;8921;Geometri, linje;BETINGET;Lengde;
449;Luminansmåling;4967;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
