X,Y,Z
-31701.09,6727962.4,34.608
-31699.0,6727962.8,34.408
-31695.2,6727964.1,34.108
-31690.74,6727964.06,34.49
-31687.59,6727964.4,33.808
-31681.91,6727963.3,33.508
-31678.3,6727962.0,33.708
-31669.826,6727957.463,34.678
-31659.91,6727952.3,35.008
-31647.09,6727946.2,35.708
-31639.91,6727943.9,36.208
-31626.09,6727939.5,37.008
-31617.2,6727936.9,37.408
-31605.2,6727932.8,37.408
-31591.2,6727927.4,38.008
-31578.2,6727921.9,38.908
-31573.8,6727920.0,39.208
-31567.59,6727917.6,39.208
-31561.7,6727915.2,39.208
-31550.092,6727911.359,39.84
-31540.72,6727907.968,40.074
-31533.302,6727905.397,40.208
-31531.191,6727904.674,40.214
-31517.41,6727900.21,40.438
-31507.7,6727898.0,40.588
-31502.13,6727897.49,40.618
-31499.77,6727897.43,40.628
-31498.55,6727897.73,40.628
-31496.54,6727898.04,40.618
-31492.17,6727899.44,40.688
-31490.88,6727899.89,40.798
-31489.0,6727900.94,40.998
-31483.48,6727905.7,40.858
-31481.65,6727907.79,40.898
-31480.81,6727908.51,40.998
-31479.62,6727910.19,41.008
-31479.07,6727911.21,41.068
-31475.8,6727919.04,41.448
-31475.53,6727919.98,41.528
-31475.05,6727921.17,41.668
-31471.94,6727932.664,42.423
-31470.246,6727938.383,42.903
-31466.051,6727947.41,43.743
-31460.252,6727955.619,44.544
-31453.121,6727962.555,45.368
-31444.762,6727968.142,46.196
-31435.543,6727972.098,47.13
-31425.85,6727974.547,47.999
-31415.994,6727976.492,48.809
-31406.285,6727978.962,49.565
-31397.059,6727982.772,50.379
-31388.978,6727988.614,51.184
-31382.643,6727996.358,52.081
-31377.848,6728005.18,52.894
-31369.58,6728023.519,54.501
-31364.63,6728034.333,55.758
-31360.49,6728041.29,56.163
-31354.324,6728049.312,57.016
-31346.688,6728055.813,57.693
-31337.952,6728060.571,58.328
-31328.459,6728063.75,58.808
-31315.759,6728066.528,59.16
-31306.41,6728067.5,60.008
-31298.5,6728068.9,60.408
-31284.7,6728071.7,59.808
-31270.7,6728075.2,59.608
-31263.3,6728077.5,59.508
-31254.7,6728080.5,59.408
-31240.8,6728086.7,58.908
-31233.09,6728091.8,58.208
-31230.5,6728093.9,58.108
-31227.09,6728096.6,57.908
-31222.3,6728100.5,57.908
-31218.7,6728104.0,57.708
-31210.5,6728112.5,57.008
-31201.09,6728123.5,56.608
-31191.2,6728135.5,55.908
-31185.0,6728143.0,55.408
-31181.59,6728146.9,55.308
-31176.7,6728152.2,55.808
-31171.8,6728156.7,56.308
-31166.41,6728161.4,56.708
-31162.09,6728165.0,57.008
-31153.5,6728170.7,58.108
-31147.09,6728174.4,58.308
-31134.0,6728181.4,58.908
-31130.5,6728183.1,59.308
-31119.3,6728189.2,61.008
-31106.09,6728196.1,62.708
-31095.41,6728202.3,64.008
-31087.8,6728206.7,64.808
-31086.2,6728207.6,65.008
-31081.09,6728211.1,65.608
-31069.0,6728220.7,66.908
-31064.5,6728224.3,67.608
-31055.91,6728232.1,69.608
-31048.2,6728240.4,70.108
-31044.41,6728244.4,70.408
-31040.7,6728248.7,70.608
-31033.3,6728256.6,71.608
-31023.3,6728267.2,73.408
-31017.91,6728273.9,74.308
-31011.41,6728281.2,75.508
-31002.09,6728291.8,77.308
-30996.0,6728298.1,78.008
-30985.91,6728309.0,79.008
-30979.59,6728316.3,79.808
-30974.09,6728322.0,80.908
-30969.59,6728327.6,82.008
-30965.09,6728332.6,82.608
-30955.59,6728342.9,84.108
-30948.8,6728350.7,86.108
-30939.41,6728361.1,89.108
-30936.09,6728364.8,90.008
-30925.59,6728375.8,92.508
-30918.09,6728384.4,94.308
-30908.2,6728394.7,96.408
-30897.59,6728405.6,98.008
-30889.41,6728414.1,99.508
-30884.2,6728419.4,99.808
-30877.3,6728426.3,100.608
-30867.2,6728437.2,101.108
-30858.2,6728446.0,102.108
-30850.2,6728455.0,102.508
-30839.7,6728465.5,104.608
-30834.2,6728471.0,105.708
-30824.09,6728481.1,107.408
-30819.0,6728486.3,107.808
-30812.3,6728492.7,108.608
-30803.5,6728500.9,110.508
-30793.3,6728511.0,112.108
-30787.2,6728516.5,113.008
-30780.59,6728522.7,114.508
-30769.91,6728533.0,116.108
-30760.41,6728541.7,117.308
-30750.09,6728551.4,118.708
-30744.3,6728557.1,119.708
-30742.59,6728558.6,119.708
-30738.3,6728563.2,119.908
-30728.41,6728573.9,121.008
-30719.0,6728584.7,121.708
-30715.0,6728589.5,121.808
-30712.7,6728592.3,122.308
-30709.59,6728596.4,122.708
-30706.262,6728600.582,122.774
-30704.3,6728603.2,123.11
-30700.7,6728607.5,123.686
-30692.41,6728617.6,125.027
-30686.59,6728625.2,126.01
-30681.3,6728632.5,126.935
-30675.3,6728640.0,127.921
-30660.5,6728659.4,130.426
-30657.91,6728663.3,130.907
-30654.121,6728667.77,131.508
-30652.124,6728670.842,132.008
-30649.213,6728675.157,132.708
-30644.423,6728682.149,133.808
-30640.571,6728689.406,134.908
-30634.129,6728701.774,135.808
-30627.566,6728713.739,136.108
-30625.07,6728718.84,136.808
-30624.02,6728721.786,137.208
-30622.383,6728725.593,137.308
-30616.926,6728737.45,137.308
-30614.5,6728742.8,137.308
-30609.424,6728753.295,137.308
-30603.966,6728764.128,137.308
-30597.466,6728777.83,136.308
-30595.621,6728781.766,135.908
-30593.59,6728786.9,135.708
-30592.59,6728788.4,135.608
-30589.8,6728791.9,135.408
-30586.3,6728798.0,134.808
-30584.2,6728801.9,134.508
-30581.8,6728806.7,134.208
-30578.91,6728812.0,133.908
-30574.91,6728818.7,133.608
-30569.91,6728831.5,132.808
-30565.41,6728845.4,131.208
-30562.2,6728856.9,130.408
-30560.3,6728864.2,129.908
-30558.91,6728869.9,129.408
-30555.59,6728884.1,129.208
-30552.8,6728897.5,128.308
-30551.8,6728905.5,128.208
-30549.8,6728911.9,128.208
-30547.09,6728919.8,127.908
-30543.8,6728927.1,127.108
-30538.7,6728938.8,126.008
-30533.09,6728949.1,125.108
-30530.138,6728953.866,125.031
-30525.41,6728961.5,124.908
-30521.0,6728968.1,124.408
-30513.0,6728979.8,123.508
-30507.59,6728986.7,123.408
-30498.8,6728997.9,123.108
-30492.7,6729006.6,122.408
-30485.0,6729019.0,121.308
-30477.2,6729030.6,120.708
-30468.91,6729042.3,119.808
-30460.41,6729053.2,118.608
-30456.8,6729058.1,118.508
-30455.09,6729060.6,118.509
-30449.41,6729069.3,118.309
-30443.3,6729079.1,118.209
-30437.09,6729088.7,118.009
-30428.3,6729100.4,118.009
-30425.533,6729104.507,117.31
-30421.159,6729110.161,116.92
-30419.09,6729114.0,117.709
-30417.91,6729115.9,118.009
-30417.2,6729117.1,118.009
-30413.5,6729120.65,116.79
-30410.59,6729124.8,117.209
-30402.7,6729136.3,116.609
-30396.8,6729144.6,116.509
-30389.0,6729156.7,116.009
-30384.7,6729163.2,115.909
-30381.09,6729168.3,115.909
-30372.394,6729179.375,115.609
-30366.492,6729188.338,115.309
-30362.582,6729194.813,114.709
-30356.625,6729208.013,113.609
-30354.084,6729215.394,113.409
-30349.91,6729229.3,111.909
-30344.91,6729243.1,110.809
-30339.5,6729257.0,109.709
-30333.7,6729270.6,108.509
-30330.5,6729276.6,108.209
-30322.91,6729288.7,106.609
-30314.3,6729300.3,106.409
-30304.5,6729311.9,105.009
