Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep;Ekstern id
Aerotriangulert;21;Kartverket;Gyldig;15.04.2020;1;Punkt beregnet ved aerotriangulering  ;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/21;;
Annet  (denne har ingen mening, bør fjernes?);19;Kartverket;Gyldig;15.04.2020;1;Annet;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/19;;
Annet (spesifiseres i filhode) ( bør vel fjernes, blir borte ved overføring mellom systemer);79;Kartverket;Gyldig;15.04.2020;1;Annet (spesifiseres i filhode);;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/79;;
Beregnet;69;Kartverket;Gyldig;15.04.2020;1;Beregnet, uspesifisert hvordan;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/69;;
Bilbåren laser;37;Kartverket;Gyldig;15.04.2020;1;Målt med laserskanner plassert i kjøretøy;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/37;;
Digitaliseringbord: Flybilde, film;43;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra flybilde ved hjelp av manuell registrering på et digitaliseringsbord. Bildemedium er film;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/43;;
Digitaliseringbord: Flybilde, fotokopi;44;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra flybilde ved hjelp av manuell registrering på et digitaliseringsbord. Bildemedium er fotokopi;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/44;;
Digitaliseringbord: Ortofoto eller flybilde;40;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra ortofoto eller flybilde ved hjelp av manuell registrering på et digitaliseringsbord, uspesifisert bildemedium;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/40;;
Digitaliseringbord: Ortofoto, film;41;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra ortofoto ved hjelp av manuell registrering på et digitaliseringsbord. Bildemedium er film;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/41;;
Digitaliseringbord: Ortofoto, fotokopi;42;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra ortofoto ved hjelp av manuell registrering på et digitaliseringsbord. Bildemedium er fotokopi;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/42;;
Digitaliseringsbord: Kart;50;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra kart ved hjelp av manuell registrering på et digitaliseringsbord, medium uspesifisert;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/50;;
