Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep;Ekstern id
Aerotriangulert;21;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/21;;
Annet;19;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/19;;
Annet (spesifiseres i filhode);79;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/79;;
Beregnet;69;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/69;;
Fastsatt ved dom eller kongelig resolusjon;78;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/78;;
Flybåren laserscanning;36;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/36;;
Genererte data (interpolasjon);60;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/60;;
Genererte data (interpolasjon): Terrengmodell;61;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/61;;
Genererte data (interpolasjon): Vektet middel;62;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/62;;
Genererte data: Fra annen geometri;63;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/63;;
Genererte data: Generalisering;64;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/64;;
Genererte data: Sammenknytningspunkt, randpunkt;66;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/66;;
GNSS: Fasemåling RTK;96;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/96;;
GNSS: Fasemåling, andre metoder;94;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/94;;
GNSS: Fasemåling, statisk måling;93;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/93;;
GNSS: Kodemåling, enkle målinger;92;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/92;;
GNSS: Kodemåling, relative målinger;91;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/91;;
Kombinasjon av GNSS/Treghet;95;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/95;;
Koordinater hentet fra GAB;67;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/67;;
Koordinater hentet fra JREG;68;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/68;;
Nivellement;15;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/15;;
Spesielle metoder;70;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/70;;
Spesielle metoder: Målt med stigningsmåler;74;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/74;;
Stereoinstrument;20;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/20;;
Stereoinstrument: Analytisk plotter;22;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/22;;
Stereoinstrument: Autograf;23;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/23;;
Stereoinstrument: Digitalt;24;Kartverket;Gyldig;15.04.2020;1;Ikke angitt;;;https://register.geonorge.no/sosi-kodelister/malemetodehoyde-kode/24;;
