startunikid,endcovenant_id,startlat,startlon,endlat,endlon
coop::2161,COOP 48,63.4094237,10.4451644,63.4106227,10.4458988
coop::2161,COOP 49,63.4094237,10.4451644,63.4106628,10.4460882
coop::2161,COOP 50,63.4094237,10.4451644,63.4107257,10.4454847
coop::2161,COOP 51,63.4094237,10.4451644,63.4107474,10.4454117
coop::2161,COOP 52,63.4094237,10.4451644,63.4107869,10.445597
coop::2161,COOP 64,63.4094237,10.4451644,63.4101633,10.4451926
coop::2161,COOP 65,63.4094237,10.4451644,63.4102685,10.4450684
coop::2161,COOP 66,63.4094237,10.4451644,63.4104365,10.4450702
coop::2161,COOP 67,63.4094237,10.4451644,63.4104707,10.4454459
kiwi::7080001422042,NORGESGRUPPEN 123,63.42130426,10.46782395,63.4184121,10.4642727
kiwi::7080001422042,NORGESGRUPPEN 124,63.42130426,10.46782395,63.4181327,10.4634704
meny::7080001271947,NORGESGRUPPEN 123,63.40958924,10.44321792,63.4184121,10.4642727
meny::7080001271947,NORGESGRUPPEN 124,63.40958924,10.44321792,63.4181327,10.4634704
coop::1553,COOP 286,62.392082,6.5828861,62.3920357,6.582137
coop::2401,COOP 284,62.7597141,8.5393574,62.6738321,8.56588
coop::2401,COOP 285,62.7597141,8.5393574,62.6746118,8.5648629
coop::2545,COOP 284,62.6733755,8.5680117,62.6738321,8.56588
coop::2545,COOP 285,62.6733755,8.5680117,62.6746118,8.5648629
coop::4240,COOP 284,62.5492501,9.1154083,62.6738321,8.56588
coop::4240,COOP 285,62.5492501,9.1154083,62.6746118,8.5648629
kiwi::7080001199340,NORGESGRUPPEN 54,62.34072366,5.85492897,62.3422564,5.8683557
spar::7080000019328,NORGESGRUPPEN 54,62.34226963,5.86830412,62.3422564,5.8683557
spar::7080001137793,NORGESGRUPPEN 54,62.31598881,5.84382425,62.3422564,5.8683557
joker::7080000032136,NORGESGRUPPEN 49,62.55819201,6.0696431,62.5090197,6.1282884
joker::7080001100599,NORGESGRUPPEN 49,62.4771117,6.03523282,62.5090197,6.1282884
kiwi::7080001203931,NORGESGRUPPEN 49,62.50670401,6.10274653,62.5090197,6.1282884
spar::7080000014033,NORGESGRUPPEN 49,62.50865817,6.12842281,62.5090197,6.1282884
joker::7080000546121,NORGESGRUPPEN 42,62.61926434,6.85240938,62.6235713,7.0902103
joker::7080000878932,NORGESGRUPPEN 42,62.58234309,6.9311459,62.6235713,7.0902103
kiwi::7080001371166,NORGESGRUPPEN 42,62.6235206,7.09043337,62.6235713,7.0902103
spar::7080000602322,NORGESGRUPPEN 42,62.5224408,7.12833727,62.6235713,7.0902103
kiwi::7080000014361,NORGESGRUPPEN 68,62.1453501,6.07444538,62.1456828,6.0752923
kiwi::7080001181901,NORGESGRUPPEN 68,62.14671695,6.08870568,62.1456828,6.0752923
spar::7080001235253,NORGESGRUPPEN 68,62.14942551,6.0845222,62.1456828,6.0752923
spar::7080001285746,NORGESGRUPPEN 68,61.96784441,6.5254429,62.1456828,6.0752923
nærbutikken::7080001414511,NORGESGRUPPEN 68,62.10875758,5.93692355,62.1456828,6.0752923
joker::7080000958085,NORGESGRUPPEN 62,62.58653851,7.49700352,62.5779605,7.7937058
joker::7080000958085,NORGESGRUPPEN 63,62.58653851,7.49700352,62.5779605,7.7937058
joker::7080000958085,NORGESGRUPPEN 64,62.58653851,7.49700352,62.5780402,7.7935887
joker::7080000958085,NORGESGRUPPEN 65,62.58653851,7.49700352,62.5781375,7.7930333
kiwi::7080001123802,NORGESGRUPPEN 62,62.55867543,7.68157773,62.5779605,7.7937058
kiwi::7080001123802,NORGESGRUPPEN 63,62.55867543,7.68157773,62.5779605,7.7937058
kiwi::7080001123802,NORGESGRUPPEN 64,62.55867543,7.68157773,62.5780402,7.7935887
kiwi::7080001123802,NORGESGRUPPEN 65,62.55867543,7.68157773,62.5781375,7.7930333
nærbutikken::7080000017454,NORGESGRUPPEN 62,62.63139955,7.49334788,62.5779605,7.7937058
nærbutikken::7080000017454,NORGESGRUPPEN 63,62.63139955,7.49334788,62.5779605,7.7937058
nærbutikken::7080000017454,NORGESGRUPPEN 64,62.63139955,7.49334788,62.5780402,7.7935887
nærbutikken::7080000017454,NORGESGRUPPEN 65,62.63139955,7.49334788,62.5781375,7.7930333
nærbutikken::7080000022632,NORGESGRUPPEN 62,62.70073463,7.69913243,62.5779605,7.7937058
nærbutikken::7080000022632,NORGESGRUPPEN 63,62.70073463,7.69913243,62.5779605,7.7937058
nærbutikken::7080000022632,NORGESGRUPPEN 64,62.70073463,7.69913243,62.5780402,7.7935887
nærbutikken::7080000022632,NORGESGRUPPEN 65,62.70073463,7.69913243,62.5781375,7.7930333
nærbutikken::7080000872664,NORGESGRUPPEN 62,62.34041313,8.06218889,62.5779605,7.7937058
nærbutikken::7080000872664,NORGESGRUPPEN 63,62.34041313,8.06218889,62.5779605,7.7937058
nærbutikken::7080000872664,NORGESGRUPPEN 64,62.34041313,8.06218889,62.5780402,7.7935887
nærbutikken::7080000872664,NORGESGRUPPEN 65,62.34041313,8.06218889,62.5781375,7.7930333
nærbutikken::7080001220143,NORGESGRUPPEN 62,62.60651876,7.29447537,62.5779605,7.7937058
nærbutikken::7080001220143,NORGESGRUPPEN 63,62.60651876,7.29447537,62.5779605,7.7937058
nærbutikken::7080001220143,NORGESGRUPPEN 64,62.60651876,7.29447537,62.5780402,7.7935887
nærbutikken::7080001220143,NORGESGRUPPEN 65,62.60651876,7.29447537,62.5781375,7.7930333
rema::354045,REMA 19,62.7340675,7.13916791,62.7391762,7.1916189
rema::444253,REMA 19,62.74116077,7.19773625,62.7391762,7.1916189
joker::7080000032983,NORGESGRUPPEN 60,62.16048485,5.18035129,61.9060039,5.9892741
joker::7080001079444,NORGESGRUPPEN 60,61.9741087,5.2260312,61.9060039,5.9892741
kiwi::7080001463441,NORGESGRUPPEN 60,61.909981,5.995246,61.9060039,5.9892741
kiwi::7080001066079,NORGESGRUPPEN 89,59.96380418,10.73333998,59.9505737,10.6934487
kiwi::7080001066079,NORGESGRUPPEN 102,59.96380418,10.73333998,59.9503607,10.692685
kiwi::7080001066079,NORGESGRUPPEN 177,59.96380418,10.73333998,59.9503852,10.6946383
kiwi::7080001066079,NORGESGRUPPEN 178,59.96380418,10.73333998,59.9501045,10.6940888
kiwi::7080001066079,NORGESGRUPPEN 179,59.96380418,10.73333998,59.9505559,10.6932662
kiwi::7080001214494,NORGESGRUPPEN 89,59.94716992,10.73207937,59.9505737,10.6934487
kiwi::7080001214494,NORGESGRUPPEN 102,59.94716992,10.73207937,59.9503607,10.692685
kiwi::7080001214494,NORGESGRUPPEN 177,59.94716992,10.73207937,59.9503852,10.6946383
kiwi::7080001214494,NORGESGRUPPEN 178,59.94716992,10.73207937,59.9501045,10.6940888
kiwi::7080001214494,NORGESGRUPPEN 179,59.94716992,10.73207937,59.9505559,10.6932662
kiwi::7080001255459,NORGESGRUPPEN 89,59.94081632,10.72913924,59.9505737,10.6934487
kiwi::7080001255459,NORGESGRUPPEN 102,59.94081632,10.72913924,59.9503607,10.692685
kiwi::7080001255459,NORGESGRUPPEN 177,59.94081632,10.72913924,59.9503852,10.6946383
kiwi::7080001255459,NORGESGRUPPEN 178,59.94081632,10.72913924,59.9501045,10.6940888
kiwi::7080001255459,NORGESGRUPPEN 179,59.94081632,10.72913924,59.9505559,10.6932662
kiwi::7080001375409,NORGESGRUPPEN 89,59.95029856,10.69261812,59.9505737,10.6934487
kiwi::7080001375409,NORGESGRUPPEN 102,59.95029856,10.69261812,59.9503607,10.692685
kiwi::7080001375409,NORGESGRUPPEN 177,59.95029856,10.69261812,59.9503852,10.6946383
kiwi::7080001375409,NORGESGRUPPEN 178,59.95029856,10.69261812,59.9501045,10.6940888
kiwi::7080001375409,NORGESGRUPPEN 179,59.95029856,10.69261812,59.9505559,10.6932662
coop::2427,COOP 53,63.4310542,10.3602037,63.4294216,10.3684208
coop::2427,COOP 54,63.4310542,10.3602037,63.4293957,10.3680391
coop::2427,COOP 76,63.4310542,10.3602037,63.4514105,10.3101313
coop::2427,COOP 99,63.4310542,10.3602037,63.4293867,10.3679135
coop::2427,COOP 258,63.4310542,10.3602037,63.4311303,10.3612839
rema::1499468,REMA 21,59.92189894,10.95377057,59.9274826,10.9668441
rema::1499468,REMA 22,59.92189894,10.95377057,59.9278413,10.9613027
rema::1765647,REMA 21,59.927111,10.962492,59.9274826,10.9668441
rema::1765647,REMA 22,59.927111,10.962492,59.9278413,10.9613027
rema::2043447,REMA 21,59.94412521,10.95058839,59.9274826,10.9668441
rema::2043447,REMA 22,59.94412521,10.95058839,59.9278413,10.9613027
rema::2088005,REMA 21,59.91741,10.957349,59.9274826,10.9668441
rema::2088005,REMA 22,59.91741,10.957349,59.9278413,10.9613027
coop::4371,COOP 120,59.98704,11.243714,59.9873401,11.2466967
coop::4371,COOP 121,59.98704,11.243714,59.987272,11.2466757
coop::4371,COOP 122,59.98704,11.243714,59.9871272,11.2468884
coop::4371,COOP 123,59.98704,11.243714,59.9872234,11.2467467
coop::4371,COOP 124,59.98704,11.243714,59.98706,11.2472282
coop::4371,COOP 125,59.98704,11.243714,59.987102,11.2474332
coop::1357,COOP 47,58.5000525,8.8649991,58.4381555,8.798909
coop::1358,COOP 47,58.4636242,8.8216151,58.4381555,8.798909
coop::2254,COOP 47,58.4644818,8.7100787,58.4381555,8.798909
coop::2609,COOP 47,58.466711,8.717652,58.4381555,8.798909
coop::4509,COOP 47,58.550931,8.972199,58.4381555,8.798909
coop::4566,COOP 47,58.454511,8.747336,58.4381555,8.798909
coop::4733,COOP 47,58.4688585,8.7876095,58.4381555,8.798909
coop::4736,COOP 47,58.483588,8.8648455,58.4381555,8.798909
coop::4738,COOP 47,58.4583278,8.7549278,58.4381555,8.798909
joker::7080000978762,NORGESGRUPPEN 50,58.445964,8.75673538,58.4937085,8.8436701
joker::7080000978762,NORGESGRUPPEN 71,58.445964,8.75673538,58.4179787,8.7014838
joker::7080000978762,NORGESGRUPPEN 72,58.445964,8.75673538,58.4949188,8.8485968
joker::7080000978762,NORGESGRUPPEN 73,58.445964,8.75673538,58.4953974,8.8500413000000009
joker::7080000978762,NORGESGRUPPEN 74,58.445964,8.75673538,58.4954668,8.849478
joker::7080000978762,NORGESGRUPPEN 75,58.445964,8.75673538,58.4954668,8.849478
joker::7080001134150,NORGESGRUPPEN 50,58.4094986,8.63888751,58.4937085,8.8436701
joker::7080001134150,NORGESGRUPPEN 71,58.4094986,8.63888751,58.4179787,8.7014838
