;vegnr;vegkategori;Antall siffer;bbox
0;EV10;E;2;12.9772,67.8792,18.1068,68.6337
1;EV105;E;3;30.0048,69.6576,30.2047,69.6873
2;EV12;E;2;14.131,66.1355,14.5912,66.3246
3;EV134;E;3;5.22,59.3379,10.7396,59.9265
4;EV136;E;3;6.1357,62.0757,9.1292,62.6225
5;EV14;E;2;10.912,63.3363,12.0594,63.4683
6;EV16;E;2;5.3224,59.8882,12.5135,61.21
7;EV18;E;2;7.9786,58.1414,11.749,59.9216
8;EV39;E;2;5.2563,58.0298,10.3029,63.3334
9;EV45;E;2;23.0356,68.665,23.66,69.957
10;EV6;E;1;9.1207,59.0944,30.0754,70.4795
11;EV69;E;2;25.039,70.4738,25.973,71.1678
12;EV75;E;2;27.0317,69.9108,31.1066,70.3741
13;EV8;E;1;18.9011,69.1118,20.7573,69.6836
14;FV1002;F;4;11.0286,59.6745,11.0662,59.6803
15;FV1006;F;4;11.0124,59.6451,11.0915,59.6687
16;FV1008;F;4;11.0105,59.6521,11.0253,59.6654
17;FV1010;F;4;10.8726,59.6609,11.0053,59.7098
18;FV1016;F;4;11.0312,59.5906,11.0695,59.6243
19;FV1018;F;4;10.9164,59.6057,10.9996,59.6482
20;FV102;F;3;11.4614,58.9443,11.5099,58.9767
21;FV1020;F;4;10.833,59.6031,10.9105,59.6452
22;FV1022;F;4;10.8485,59.5459,10.8868,59.5801
23;FV1024;F;4;10.8096,59.5574,10.8413,59.5806
24;FV1026;F;4;10.7507,59.4917,10.8193,59.5306
25;FV1028;F;4;11.1007,59.6612,11.1533,59.6718
26;FV103;F;3;11.4187,59.1079,11.4437,59.1263
27;FV1030;F;4;11.0806,59.6224,11.2133,59.7637
28;FV1032;F;4;11.0374,59.5542,11.0807,59.5655
29;FV1034;F;4;11.0011,59.5248,11.0692,59.5874
30;FV1036;F;4;10.8714,59.4767,11.1612,59.525
31;FV1038;F;4;10.999,59.4716,11.0226,59.5208
32;FV104;F;3;11.2774,59.1248,11.3622,59.1402
33;FV1040;F;4;11.0976,59.4874,11.146,59.5295
